,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
655,OYO 10556 Hotel India International,"Paharganj, New Delhi",7.2,Good,8 reviews,1.3 km from centre,Metro access,OYO 10556 Hotel India International features air-conditioned rooms with cable TV in the Paharganj district of New Delhi. This 3-star hotel offers room service. The hotel has family rooms.
656,Vaccinated Staff- OYO 74150 Garg Inn,"South Delhi, New Delhi",5.6,Review score,5 reviews,8.3 km from centre,Metro access,"Well set in the South Delhi district of New Delhi, Vaccinated Staff- OYO 74150 Garg Inn is located 3.7 km from Lodhi Gardens, 4.4 km from Gandhi Smriti and 5 km from Qutub Minar."
657,Capital O 79858 Hotel Jp Tower,"West Delhi, New Delhi",5.0,Review score,3 reviews,8.9 km from centre,Metro access,"Situated within 7 km of Rashtrapati Bhavan and 8 km of Gurudwara Bangla Sahib, Capital O 79858 Hotel Jp Tower features rooms with air conditioning and a private bathroom in New Delhi."
658,Vaccinated Staff- Capital O 43116 Hotel Grand,"Paharganj, New Delhi",,Show prices,Opens in new window,1.1 km from centre,Metro access,"Attractively situated in the Paharganj district of New Delhi, Vaccinated Staff- Capital O 43116 Hotel Grand is situated 1.5 km from Jantar Mantar, 1.6 km from Gurudwara Bangla Sahib and 2.3 km from..."
659,925 Hotels Gagan Vihar,"East Delhi, New Delhi",3.8,Review score,4 reviews,7.3 km from centre,No Metro Access,"Situated within 4.1 km of Swaminarayan Akshardham and 4.2 km of Swaminarayan Akshardham, 925 Hotels Gagan Vihar provides rooms with air conditioning and a private bathroom in New Delhi."
660,SPOT ON DEL2878 S K Residency,"South West, New Delhi",,Show prices,Opens in new window,14.7 km from centre,No Metro Access,"Attractively situated in the South West district of New Delhi, SPOT ON DEL2878 S K Residency is situated 12 km from Rashtrapati Bhavan, 13 km from Gandhi Smriti and 13 km from Gurudwara Bangla Sahib."
661,Raas Fully Furnished 1BHK Independent Apartment 1 in Greater Kailash 1,"Greater Kailash 1, New Delhi",10,Exceptional,3 reviews,9.8 km from centre,No Metro Access,"Raas Fully Furnished 1BHK Independent Apartment 1 in Greater Kailash 1 is set in the Greater Kailash 1 district of New Delhi, 5 km from Humayun's Tomb, 5 km from Lodhi Gardens and 6 km from..."
662,Apt# ONE-FOUR-TWO - with Lift - High Speed Wifi - Smart TV,"South Delhi, New Delhi",,Show prices,Opens in new window,7.2 km from centre,Metro access,"Apt# ONE-FOUR-TWO - with Lift - High Speed Wifi - Smart TV has city views, free WiFi and free private parking, located in New Delhi, 2.5 km from Humayun's Tomb."
663,Vaccinated Staff- OYO 69526 Smart Inn,"South Delhi, New Delhi",3.0,Review score,3 reviews,8.5 km from centre,Metro access,Vaccinated Staff- OYO 69526 Smart Inn features air-conditioned rooms with cable TV in the South Delhi district of New Delhi.
664,Vaccinated Staff- SPOT ON 76979 Chandu Inn,"South Delhi, New Delhi",,Show prices,Opens in new window,8.3 km from centre,Metro access,SPOT ON 76979 Chandu Inn is set in New Delhi. The property is around 3.7 km from Lodhi Gardens and 4.4 km from Gandhi Smriti. The rooms are fitted with a TV with cable channels.
665,Vaccinated Staff- OYO 79707 La Sky,"East Delhi, New Delhi",,Show prices,Opens in new window,10 km from centre,No Metro Access,"Situated within 4.2 km of Swaminarayan Akshardham and 4.2 km of Swaminarayan Akshardham, OYO 79707 La Sky features rooms with air conditioning and a private bathroom in New Delhi."
666,Hotel prime plaza,"Mahipalpur, New Delhi",2.3,Review score,3 reviews,13.3 km from centre,No Metro Access,"Located in New Delhi, 6 km from Qutub Minar, hotel prime plaza provides accommodation with a restaurant, free private parking, a bar and a garden."
667,Hyatt Delhi Residences,"South West, New Delhi",8.6,Fabulous,12 reviews,13.3 km from centre,No Metro Access,"With Qutub Minar reachable in 7 km, Hyatt Delhi Residences provides accommodation, a restaurant, a fitness centre, a bar and a garden."
668,Vaccinated Staff- OYO 46183 New Tech India,"Karol bagh, New Delhi",6.0,Review score,4 reviews,2.7 km from centre,Metro access,"Well located in the Karol bagh district of New Delhi, Vaccinated Staff- OYO 46183 New Tech India is located 3.6 km from Gurudwara Bangla Sahib, 4 km from Jama Masjid and 5 km from Jantar Mantar."
669,OYO 78143 The Dream House,"Safdarjung Enclave, New Delhi",,Show prices,Opens in new window,8.6 km from centre,No Metro Access,"Located within 4.3 km of Qutub Minar and 4.3 km of Lodhi Gardens, OYO 78143 The Dream House provides rooms in New Delhi."
670,Hotel Madho Palace,"Mahipalpur, New Delhi",7.2,Good,5 reviews,13.2 km from centre,No Metro Access,"Situated in New Delhi, 6 km from Qutub Minar, Hotel Madho Palace provides air-conditioned accommodation and a bar. Boasting family rooms, this property also provides guests with a terrace."
671,Vaccinated Staff - OYO Townhouse 381 Dilshad Garden,New Delhi,3.1,Review score,7 reviews,11.5 km from centre,No Metro Access,"Set 8 km from Rāj Ghāt, Vaccinated Staff - OYO Townhouse 381 Dilshad Garden offers rooms with air conditioning in New Delhi."
672,Iris Park,"Safdarjung Enclave, New Delhi",,Show prices,Opens in new window,8.1 km from centre,No Metro Access,Iris Park features air-conditioned rooms with cable flat-screen TV in the Safdarjung Enclave district of New Delhi.
673,OYO 69520 Amazing Stays,"Rohini, New Delhi",,Show prices,Opens in new window,14.4 km from centre,No Metro Access,OYO 69520 Amazing Stays features air-conditioned rooms with cable TV in the Rohini district of New Delhi.
674,Hotel Mayank Plaza-Near IGI Airport Terminal-3,"South West, New Delhi",9.1,Superb,20 reviews,14.8 km from centre,No Metro Access,"Located 10 km from Qutub Minar in New Delhi, Hotel Mayank Plaza-Near IGI Airport Terminal-3 provides accommodation with air conditioning and free WiFi."
675,Vaccinated Staff- OYO Townhouse 77397 Paschim Vihar,"Pashim Vihar, New Delhi",,Show prices,Opens in new window,13 km from centre,No Metro Access,"Attractively located in the Pashim Vihar district of New Delhi, OYO Townhouse 77397 Paschim Vihar is situated 12 km from Rashtrapati Bhavan, 12 km from Gurudwara Bangla Sahib and 13 km from Jantar..."
676,Vaccinated Staff- OYO 79707 La Sky,"East Delhi, New Delhi",,Show prices,Opens in new window,10 km from centre,No Metro Access,"Situated within 4.2 km of Swaminarayan Akshardham and 4.2 km of Swaminarayan Akshardham, OYO 79707 La Sky features rooms with air conditioning and a private bathroom in New Delhi."
677,Vaccinated Staff - OYO 78967 RS Residency,"South Delhi, New Delhi",6.0,Review score,3 reviews,12.7 km from centre,No Metro Access,OYO 78967 RS Residency features air-conditioned rooms with cable TV in the South Delhi district of New Delhi.
678,Vaccinated Staff - OYO 13026 Kanchan Residency,"Dwarka, New Delhi",,Show prices,Opens in new window,16.7 km from centre,Metro access,"Conveniently situated in the Dwarka district of New Delhi, Vaccinated Staff - OYO 13026 Kanchan Residency is located 19 km from Qutub Minar, 19 km from Rashtrapati Bhavan and 19 km from Gandhi Smriti...."
679,Vaccinated Staff- OYO 11384 Hotel Diamond Star,"Mahipalpur, New Delhi",4.3,Review score,3 reviews,13.6 km from centre,No Metro Access,"In a prime location in the Mahipalpur district of New Delhi, OYO 11384 Hotel Diamond Star is located 10 km from Qutub Minar, 13 km from Gandhi Smriti and 15 km from Gurudwara Bangla Sahib."
680,925 Hotels 002 Chattarpur Enclave,"Chattarpur, New Delhi",6.8,Review score,9 reviews,14.9 km from centre,No Metro Access,"Ideally located in the Chattarpur district of New Delhi, 925 Hotels 002 Chattarpur Enclave is set 2.2 km from Qutub Minar, 8 km from Tughlaqabad Fort and 9 km from Lotus Temple."
681,OYO 72491 Ramada Inn,"South West, New Delhi",,Show prices,Opens in new window,14.1 km from centre,Metro access,"Ideally located in the South West district of New Delhi, OYO 72491 Ramada Inn is set 12 km from Rashtrapati Bhavan, 12 km from Gandhi Smriti and 13 km from Gurudwara Bangla Sahib."
682,Vaccinated Staff- OYO 29271 Smart City,"Mahipalpur, New Delhi",8.2,Very good,6 reviews,13.1 km from centre,No Metro Access,"Attractively located in the Mahipalpur district of New Delhi, Vaccinated Staff- OYO 29271 Smart City is situated 11 km from Qutub Minar, 13 km from Rashtrapati Bhavan and 13 km from Gandhi Smriti."
683,Vaccinated Staff- SPOT ON 76979 Chandu Inn,"South Delhi, New Delhi",,Show prices,Opens in new window,8.3 km from centre,Metro access,SPOT ON 76979 Chandu Inn is set in New Delhi. The property is around 3.7 km from Lodhi Gardens and 4.4 km from Gandhi Smriti. The rooms are fitted with a TV with cable channels.
684,The River Front Hotel,"Mahipalpur, New Delhi",10,Exceptional,9 reviews,13.9 km from centre,No Metro Access,"Situated in New Delhi, within 6 km of Qutub Minar and 10 km of Gandhi Smriti, The River Front Hotel provides accommodation with a terrace and as well as free private parking for guests who drive."
685,OYO 64184 Moody Moon Residency,"South Delhi, New Delhi",,Show prices,Opens in new window,6.2 km from centre,No Metro Access,"Conveniently situated in the South Delhi district of New Delhi, OYO 77353 Tom & Jerry is located 1.2 km from Humayun's Tomb, 3 km from Lodhi Gardens and 3.5 km from Lotus Temple."
686,Capital O 39909 Happy Homes,"Dwarka, New Delhi",,Show prices,Opens in new window,18.1 km from centre,No Metro Access,"Attractively set in the Dwarka district of New Delhi, Capital O 39909 Happy Homes is situated 20 km from Rashtrapati Bhavan, 20 km from Gandhi Smriti and 22 km from Gurudwara Bangla Sahib."
687,OYO 30462 Hotel Ivy,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.3 km from centre,No Metro Access,"Featuring a shared lounge, OYO 30462 Hotel Ivy is located in New Delhi in the Delhi NCR region, 10 km from Qutub Minar and 13 km from Rashtrapati Bhavan."
688,SPOT ON DEL2930 Hotel Kashvi Palace,New Delhi,,Show prices,Opens in new window,6.2 km from centre,No Metro Access,"Featuring 3-star accommodation, SPOT ON DEL2930 Hotel Kashvi Palace is situated in New Delhi, 3.3 km from Red Fort and 3.5 km from Rāj Ghāt."
689,Hotel Ashoka - Paschim Vihar,"Pashim Vihar, New Delhi",,Show prices,Opens in new window,12.3 km from centre,Metro access,Hotel Ashoka - Paschim Vihar features air-conditioned rooms with flat-screen TV in the Pashim Vihar district of New Delhi.
690,Hotel sweet inn HR group,"South Delhi, New Delhi",,Show prices,Opens in new window,13.8 km from centre,No Metro Access,"Offering air-conditioned rooms in the South Delhi district of New Delhi, Hotel sweet inn HR group is 3.5 km from Qutub Minar. Boasting family rooms, this property also provides guests with a terrace."
691,Capital O 10938 Season Grand,"North Delhi, New Delhi",,Show prices,Opens in new window,11.2 km from centre,Metro access,"Attractively located in the North Delhi district of New Delhi, Capital O 10938 Season Grand is situated 11 km from Jama Masjid, 13 km from Red Fort and 14 km from Gurudwara Bangla Sahib."
692,AIRPORT HOTEL BOLLYWOOD PARADISE,"South Delhi, New Delhi",6.0,Review score,3 reviews,9.2 km from centre,No Metro Access,"Featuring a restaurant and a bar, AIRPORT HOTEL BOLLYWOOD PARADISE is situated in Delhi. This 4-star hotel offers a 24-hour front desk and room service. The hotel has family rooms."
693,OYO 44229 A R Palace,"New Friends Colony, New Delhi",4.0,Review score,6 reviews,8.4 km from centre,No Metro Access,"Attractively located in the New Friends Colony district of New Delhi, OYO 44229 A R Palace is situated 5 km from Humayun's Tomb, 6 km from Lotus Temple and 7 km from India Gate."
694,Vaccinated Staff - OYO 78800 Cozy Stay Lajpat Nagar Part 2,"South Delhi, New Delhi",7.0,Good,3 reviews,7.8 km from centre,Metro access,OYO Home 70401 Cozy Stay Lajpat Nagar Ii features air-conditioned rooms with cable flat-screen TV in the South Delhi district of New Delhi.
695,Vaccinated Staff- OYO spot on 28395 Delight Inn,"Dwarka, New Delhi",,Show prices,Opens in new window,18.6 km from centre,Metro access,"Conveniently situated in the Dwarka district of New Delhi, Vaccinated Staff- OYO spot on 28395 Delight Inn is located 19 km from Rashtrapati Bhavan, 20 km from Gandhi Smriti and 21 km from Gurudwara..."
696,Vaccinated Staff- OYO 37118 Hotel Cosmo,"Karol bagh, New Delhi",,Show prices,Opens in new window,4 km from centre,No Metro Access,"Ideally situated in the Karol bagh district of New Delhi, OYO 37118 Hotel Cosmo is situated 5 km from Gurudwara Bangla Sahib, 5 km from Rashtrapati Bhavan and 6 km from Jantar Mantar."
697,Vaccinated Staff- Capital O 43116 Hotel Grand,"Paharganj, New Delhi",,Show prices,Opens in new window,1.1 km from centre,Metro access,"Attractively situated in the Paharganj district of New Delhi, Vaccinated Staff- Capital O 43116 Hotel Grand is situated 1.5 km from Jantar Mantar, 1.6 km from Gurudwara Bangla Sahib and 2.3 km from..."
698,OYO 80157 Collection O The Grand Westend,"West Delhi, New Delhi",,Show prices,Opens in new window,14.4 km from centre,No Metro Access,"Boasting a restaurant and a bar, OYO 80157 Collection O The Grand Westend is situated in New Delhi, 12 km from Rashtrapati Bhavan and 13 km from Gurudwara Bangla Sahib."
699,Vaccinated Staff- OYO Townhouse 37283 Derawal Nagar,"North Delhi, New Delhi",,Show prices,Opens in new window,7.9 km from centre,No Metro Access,OYO Townhouse 37283 Derawal Nagar features air-conditioned rooms with cable TV in the North Delhi district of New Delhi. This 3-star hotel offers a 24-hour front desk and a shared kitchen.
700,Vaccinated Staff - Collection O 80996 R s Villa,"South Delhi, New Delhi",,Show prices,Opens in new window,10.9 km from centre,No Metro Access,Collection O 80996 R s Villa is set in New Delhi. All rooms boast a TV with cable channels and a private bathroom. Lotus Temple is 1.6 km from the hotel and Tughlaqabad Fort is 4.2 km away.
701,OYO 75809 Sharma Residency,"South Delhi, New Delhi",,Show prices,Opens in new window,11.1 km from centre,No Metro Access,OYO 75809 Sharma Residency features air-conditioned rooms with cable TV in the South Delhi district of New Delhi.
702,OYO 18618 Ocean Blue Residency,"East Delhi, New Delhi",2.8,Review score,3 reviews,5.9 km from centre,No Metro Access,OYO 18618 Ocean Blue Residency features air-conditioned rooms with cable TV in the East Delhi district of New Delhi. This 3-star hotel offers a 24-hour front desk and room service.
703,OYO 29941 Hotel Hukum Palace,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.7 km from centre,No Metro Access,"Situated conveniently in the Mahipalpur district of New Delhi, OYO 29941 Hotel Hukum Palace is set 10 km from Qutub Minar, 13 km from Rashtrapati Bhavan and 13 km from Gandhi Smriti."
704,Hari Piorko Grand,"Paharganj, New Delhi",,Show prices,Opens in new window,1.3 km from centre,Metro access,"Featuring a restaurant and a shared lounge, Hari Piorko Grand is located in New Delhi, 1.6 km from Jantar Mantar and 1.6 km from Gurudwara Bangla Sahib."
705,STAY24 035 JASRAM HERITAGE,"Jasola, New Delhi",,Show prices,Opens in new window,12 km from centre,Metro access,"Situated in New Delhi, within 3.4 km of Lotus Temple and 5 km of Tughlaqabad Fort, STAY24 035 JASRAM HERITAGE features accommodation with a restaurant and as well as free private parking for guests..."
706,Holiday Hospitality Hotel De Aura,"Mahipalpur, New Delhi",8.5,Very good,4 reviews,13.9 km from centre,Metro access,"Located in New Delhi, 7 km from Qutub Minar, Hello - A Boutique Hotel provides accommodation with a restaurant, free private parking and a shared lounge."
707,OYO 79682 Hotel Diamond,New Delhi,,Show prices,Opens in new window,11.4 km from centre,No Metro Access,"Featuring 3-star accommodation, OYO 79682 Hotel Diamond is set in New Delhi, 8 km from Red Fort and 9 km from Rāj Ghāt. All rooms boast a TV with cable channels and a private bathroom."
